Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
P06-LN	Extraction	100 ¦_L of 50% acetonitrile		P06-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P06-Ltu		Data transformation	P06-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/11.mzML	Metabolite identification	P06-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P06-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P06-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P06-LN		Data transformation	P06-LN	FILES/DERIVED_FILES/REVERSE/NEG/12.mzML	Metabolite identification	P06-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P07-LN	Extraction	100 ¦_L of 50% acetonitrile		P07-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P07-Ltu		Data transformation	P07-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/13.mzML	Metabolite identification	P07-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P07-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P07-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P07-LN		Data transformation	P07-LN	FILES/DERIVED_FILES/REVERSE/NEG/14.mzML	Metabolite identification	P07-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P08-LN	Extraction	100 ¦_L of 50% acetonitrile		P08-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P08-Ltu		Data transformation	P08-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/15.mzML	Metabolite identification	P08-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P08-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P08-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P08-LN		Data transformation	P08-LN	FILES/DERIVED_FILES/REVERSE/NEG/16.mzML	Metabolite identification	P08-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P09-LN	Extraction	100 ¦_L of 50% acetonitrile		P09-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P09-Ltu		Data transformation	P09-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/17.mzML	Metabolite identification	P09-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P09-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P09-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P09-LN		Data transformation	P09-LN	FILES/DERIVED_FILES/REVERSE/NEG/18.mzML	Metabolite identification	P09-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P10-LN	Extraction	100 ¦_L of 50% acetonitrile		P10-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P10-Ltu		Data transformation	P10-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/19.mzML	Metabolite identification	P10-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P10-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P10-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P10-LN		Data transformation	P10-LN	FILES/DERIVED_FILES/REVERSE/NEG/20.mzML	Metabolite identification	P10-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P11-RN	Extraction	100 ¦_L of 50% acetonitrile		P11-Rtu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P11-Rtu		Data transformation	P11-Rtu	FILES/DERIVED_FILES/REVERSE/NEG/21.mzML	Metabolite identification	P11-Rtu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P11-Rtu	Extraction	100 ¦_L of 50% acetonitrile		P11-RN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P11-RN		Data transformation	P11-RN	FILES/DERIVED_FILES/REVERSE/NEG/22.mzML	Metabolite identification	P11-RN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P12-RN	Extraction	100 ¦_L of 50% acetonitrile		P12-Rtu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P12-Rtu		Data transformation	P12-Rtu	FILES/DERIVED_FILES/REVERSE/NEG/23.mzML	Metabolite identification	P12-Rtu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P12-Rtu	Extraction	100 ¦_L of 50% acetonitrile		P12-RN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P12-RN		Data transformation	P12-RN	FILES/DERIVED_FILES/REVERSE/NEG/24.mzML	Metabolite identification	P12-RN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P13-RN	Extraction	100 ¦_L of 50% acetonitrile		P13-Rtu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P13-Rtu		Data transformation	P13-Rtu	FILES/DERIVED_FILES/REVERSE/NEG/25.mzML	Metabolite identification	P13-Rtu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P13-Rtu	Extraction	100 ¦_L of 50% acetonitrile		P13-RN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P13-RN		Data transformation	P13-RN	FILES/DERIVED_FILES/REVERSE/NEG/26.mzML	Metabolite identification	P13-RN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P14-RN	Extraction	100 ¦_L of 50% acetonitrile		P14-Rtu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P14-Rtu		Data transformation	P14-Rtu	FILES/DERIVED_FILES/REVERSE/NEG/27.mzML	Metabolite identification	P14-Rtu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P14-Rtu	Extraction	100 ¦_L of 50% acetonitrile		P14-RN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P14-RN		Data transformation	P14-RN	FILES/DERIVED_FILES/REVERSE/NEG/28.mzML	Metabolite identification	P14-RN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P15-RN	Extraction	100 ¦_L of 50% acetonitrile		P15-Rtu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P15-Rtu		Data transformation	P15-Rtu	FILES/DERIVED_FILES/REVERSE/NEG/29.mzML	Metabolite identification	P15-Rtu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P15-Rtu	Extraction	100 ¦_L of 50% acetonitrile		P15-RN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P15-RN		Data transformation	P15-RN	FILES/DERIVED_FILES/REVERSE/NEG/30.mzML	Metabolite identification	P15-RN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P16-RN	Extraction	100 ¦_L of 50% acetonitrile		P16-Rtu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P16-Rtu		Data transformation	P16-Rtu	FILES/DERIVED_FILES/REVERSE/NEG/31.mzML	Metabolite identification	P16-Rtu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P16-Rtu	Extraction	100 ¦_L of 50% acetonitrile		P16-RN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P16-RN		Data transformation	P16-RN	FILES/DERIVED_FILES/REVERSE/NEG/32.mzML	Metabolite identification	P16-RN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P17-RN	Extraction	100 ¦_L of 50% acetonitrile		P17-Rtu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P17-Rtu		Data transformation	P17-Rtu	FILES/DERIVED_FILES/REVERSE/NEG/33.mzML	Metabolite identification	P17-Rtu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P17-Rtu	Extraction	100 ¦_L of 50% acetonitrile		P17-RN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P17-RN		Data transformation	P17-RN	FILES/DERIVED_FILES/REVERSE/NEG/34.mzML	Metabolite identification	P17-RN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
